họ tên,ngày sinh,giới tính,nơi sinh,địa chỉ,email,sđt,tên phụ huynh,sđt phụ huynh,quan hệ,email phụ huynh
Lý Tố Hoa,20/12/2009,Nữ,An Giang,"Số 98, đường 10, An Giang",hs144@school.edu.vn,0560056579,Trần Minh Minh,0773561557,Bố,ph144@gmail.com
Hoàng Minh Việt,25/09/2008,Nam,Long An,"Số 121, đường 48, Long An",hs145@school.edu.vn,0366874023,Hoàng Tố Anh,0813646933,Mẹ,ph145@gmail.com
Bùi Bảo Hoa,18/06/2009,Nữ,Huế,"Số 174, đường 50, Huế",hs146@school.edu.vn,0990747887,Võ Minh Trang,0599580835,Mẹ,ph146@gmail.com
Vũ Thanh Yến,23/04/2009,Nữ,Vĩnh Long,"Số 126, đường 21, Vĩnh Long",hs147@school.edu.vn,0815185000,Đỗ Gia Đức,0915766024,Cha,ph147@gmail.com
Hồ Kim Hiền,10/03/2008,Nữ,Hà Nội,"Số 74, đường 46, Hà Nội",hs148@school.edu.vn,0384857208,Đỗ Thanh Như,0814407444,Mẹ,ph148@gmail.com
Võ Thanh Hào,05/05/2009,Nam,TP.HCM,"Số 158, đường 48, TP.HCM",hs149@school.edu.vn,0930104453,Vũ Thị Nhi,0870201461,Mẹ,ph149@gmail.com
Vũ Đức Tuấn,23/06/2008,Nam,Đồng Nai,"Số 26, đường 44, Đồng Nai",hs150@school.edu.vn,0447604106,Nguyễn Kim Khánh,0810778600,Mẹ,ph150@gmail.com
Phan Gia An,21/05/2008,Nam,Hà Nội,"Số 197, đường 6, Hà Nội",hs151@school.edu.vn,0916470999,Vũ Quốc Việt,0488751681,Bố,ph151@gmail.com
Trần Kim Dung,24/03/2008,Nữ,Cần Thơ,"Số 10, đường 1, Cần Thơ",hs152@school.edu.vn,0620396197,Phạm Gia Hiếu,0988603957,Cha,ph152@gmail.com
Lý Phương Hiền,09/08/2009,Nữ,Hải Phòng,"Số 29, đường 22, Hải Phòng",hs153@school.edu.vn,0474476883,Dương Quốc Minh,0661971444,Cha,ph153@gmail.com
Phan Diễm Hoa,27/07/2009,Nữ,Nha Trang,"Số 132, đường 21, Nha Trang",hs154@school.edu.vn,0393133974,Hồ Quốc Khoa,0812662437,Bố,ph154@gmail.com
Vũ Gia Minh,15/04/2008,Nam,An Giang,"Số 69, đường 22, An Giang",hs155@school.edu.vn,0624211872,Nguyễn Trọng Phát,0553727962,Cha,ph155@gmail.com
Phạm Gia Hiếu,22/07/2007,Nam,Bình Dương,"Số 181, đường 50, Bình Dương",hs156@school.edu.vn,0633910025,Phạm Trọng Phúc,0537135066,Cha,ph156@gmail.com
Hoàng Quốc Khang,20/12/2008,Nam,Huế,"Số 107, đường 45, Huế",hs157@school.edu.vn,0889736058,Lý Minh Nhi,0939750911,Mẹ,ph157@gmail.com
Lê Bảo Thùy,12/12/2009,Nữ,TP.HCM,"Số 145, đường 8, TP.HCM",hs158@school.edu.vn,0366312199,Phan Phương Anh,0858712474,Mẹ,ph158@gmail.com
Phan Ngọc Phát,17/02/2008,Nam,Đồng Nai,"Số 15, đường 30, Đồng Nai",hs159@school.edu.vn,0441674152,Ngô Diễm Hương,0900003920,Mẹ,ph159@gmail.com
Đặng Văn Lâm,27/05/2008,Nam,Hà Nội,"Số 191, đường 14, Hà Nội",hs160@school.edu.vn,0920956992,Lê Hữu Quang,0368461684,Bố,ph160@gmail.com
Trần Ngọc Huyền,10/01/2008,Nữ,Nha Trang,"Số 47, đường 50, Nha Trang",hs161@school.edu.vn,0445415636,Ngô Hữu Hiếu,0705333621,Cha,ph161@gmail.com
Hoàng Trọng Kiên,18/03/2007,Nam,Nha Trang,"Số 136, đường 9, Nha Trang",hs162@school.edu.vn,0539111798,Nguyễn Gia Hiếu,0884593732,Bố,ph162@gmail.com
Hồ Minh Cường,12/08/2007,Nam,Đà Nẵng,"Số 71, đường 13, Đà Nẵng",hs163@school.edu.vn,0421166014,Trần Diễm Uyên,0316799547,Mẹ,ph163@gmail.com
Lê Ngọc Đức,20/08/2007,Nam,Tiền Giang,"Số 181, đường 4, Tiền Giang",hs164@school.edu.vn,0562781292,Trần Bảo Trang,0879562681,Mẹ,ph164@gmail.com
Trần Thanh Khoa,27/04/2008,Nam,Vĩnh Long,"Số 148, đường 21, Vĩnh Long",hs165@school.edu.vn,0920058859,Bùi Thanh Hiền,0453824712,Mẹ,ph165@gmail.com
Vũ Thanh Nhung,18/01/2008,Nữ,Long An,"Số 189, đường 12, Long An",hs166@school.edu.vn,0972155012,Ngô Thị Thu,0990755362,Mẹ,ph166@gmail.com
Bùi Kim Quỳnh,10/03/2008,Nữ,Nha Trang,"Số 48, đường 49, Nha Trang",hs167@school.edu.vn,0877596076,Lý Minh Yến,0454996504,Mẹ,ph167@gmail.com
Trần Kim Hạnh,17/09/2008,Nữ,Đà Nẵng,"Số 100, đường 16, Đà Nẵng",hs168@school.edu.vn,0573799489,Phan Đức Hào,0782954920,Cha,ph168@gmail.com
Lê Minh Hạnh,13/05/2007,Nữ,Tiền Giang,"Số 155, đường 39, Tiền Giang",hs169@school.edu.vn,0342463863,Lê Diễm Như,0900061135,Mẹ,ph169@gmail.com
Phan Trọng Dương,07/01/2008,Nam,Hải Phòng,"Số 190, đường 8, Hải Phòng",hs170@school.edu.vn,0814237373,Vũ Kim Huyền,0556979659,Mẹ,ph170@gmail.com
Đặng Bảo Hằng,12/11/2009,Nữ,Cần Thơ,"Số 67, đường 24, Cần Thơ",hs171@school.edu.vn,0850632566,Lý Ngọc Châu,0804111500,Mẹ,ph171@gmail.com
Bùi Minh Huyền,14/06/2008,Nữ,Hà Nội,"Số 145, đường 15, Hà Nội",hs172@school.edu.vn,0456683320,Nguyễn Thanh Hào,0927099478,Cha,ph172@gmail.com
Ngô Phương Yến,08/06/2007,Nữ,Nha Trang,"Số 146, đường 16, Nha Trang",hs173@school.edu.vn,0836120880,Bùi Công Lâm,0989014168,Cha,ph173@gmail.com
Dương Thu Hoa,24/03/2007,Nữ,Bình Dương,"Số 126, đường 12, Bình Dương",hs174@school.edu.vn,0882115008,Trần Đức Cường,0352091933,Bố,ph174@gmail.com
Ngô Minh Mai,05/12/2007,Nữ,Hà Nội,"Số 56, đường 33, Hà Nội",hs175@school.edu.vn,0789636644,Đỗ Ngọc Kiên,0961982621,Bố,ph175@gmail.com
Lý Thị Linh,14/09/2009,Nữ,Hà Nội,"Số 5, đường 34, Hà Nội",hs176@school.edu.vn,0595000621,Đặng Thanh Cường,0762324458,Bố,ph176@gmail.com
Huỳnh Ngọc Lan,08/03/2009,Nữ,Hải Phòng,"Số 159, đường 34, Hải Phòng",hs177@school.edu.vn,0571031968,Đỗ Hữu Hùng,0700561082,Cha,ph177@gmail.com
Dương Minh Chi,10/04/2009,Nữ,Tiền Giang,"Số 21, đường 42, Tiền Giang",hs178@school.edu.vn,0997818850,Trần Hữu Thịnh,0704982743,Bố,ph178@gmail.com
Trần Thị Khánh,03/03/2009,Nữ,Đồng Nai,"Số 112, đường 42, Đồng Nai",hs179@school.edu.vn,0655699119,Phạm Minh Bình,0908579840,Bố,ph179@gmail.com
Trần Đức Hào,18/05/2009,Nam,Long An,"Số 169, đường 3, Long An",hs180@school.edu.vn,0492580427,Bùi Minh Thành,0454824511,Bố,ph180@gmail.com
Hồ Ngọc Huyền,19/03/2008,Nữ,Hải Phòng,"Số 146, đường 25, Hải Phòng",hs181@school.edu.vn,0880424495,Bùi Phương Châu,0384211091,Mẹ,ph181@gmail.com
Đỗ Ngọc Hương,27/04/2008,Nữ,TP.HCM,"Số 88, đường 39, TP.HCM",hs182@school.edu.vn,0959132774,Hồ Văn Kiên,0593482659,Cha,ph182@gmail.com
Dương Minh Vân,13/09/2008,Nữ,Nha Trang,"Số 48, đường 44, Nha Trang",hs183@school.edu.vn,0929078621,Hồ Ngọc Tài,0564623437,Bố,ph183@gmail.com
Lê Phương Phương,26/12/2008,Nữ,Tiền Giang,"Số 40, đường 48, Tiền Giang",hs184@school.edu.vn,0718353415,Bùi Đức Hùng,0305578324,Cha,ph184@gmail.com
Dương Thanh Thu,03/03/2007,Nữ,Đà Nẵng,"Số 111, đường 29, Đà Nẵng",hs185@school.edu.vn,0898058121,Ngô Văn Hùng,0680012570,Bố,ph185@gmail.com
Bùi Kim Giang,14/05/2007,Nữ,Nha Trang,"Số 200, đường 6, Nha Trang",hs186@school.edu.vn,0900797791,Vũ Kim Hoa,0449078381,Mẹ,ph186@gmail.com
Võ Quốc Khang,14/03/2007,Nam,Cần Thơ,"Số 108, đường 20, Cần Thơ",hs187@school.edu.vn,0819939412,Lê Gia Long,0971124810,Cha,ph187@gmail.com
Phan Đức Hiếu,01/05/2007,Nam,Nha Trang,"Số 86, đường 40, Nha Trang",hs188@school.edu.vn,0707903732,Bùi Thu Nhung,0999045497,Mẹ,ph188@gmail.com
Hoàng Thu Yến,07/12/2009,Nữ,Đồng Nai,"Số 81, đường 12, Đồng Nai",hs189@school.edu.vn,0727606494,Bùi Công Thành,0560301107,Cha,ph189@gmail.com
Võ Hữu Cường,19/02/2008,Nam,Hải Phòng,"Số 152, đường 35, Hải Phòng",hs190@school.edu.vn,0493195372,Nguyễn Minh Oanh,0612814503,Mẹ,ph190@gmail.com
Lê Kim Dung,05/08/2009,Nữ,Tiền Giang,"Số 78, đường 16, Tiền Giang",hs191@school.edu.vn,0571314895,Hoàng Kim Thảo,0782181718,Mẹ,ph191@gmail.com
Lý Kim Chi,28/09/2009,Nữ,Vĩnh Long,"Số 108, đường 35, Vĩnh Long",hs192@school.edu.vn,0339476288,Đỗ Đức An,0566535973,Bố,ph192@gmail.com
Đỗ Diễm Hoa,21/10/2007,Nữ,Tiền Giang,"Số 166, đường 26, Tiền Giang",hs193@school.edu.vn,0656049246,Ngô Văn Đức,0577818215,Bố,ph193@gmail.com
Vũ Trọng Hiếu,25/08/2008,Nam,Tiền Giang,"Số 151, đường 45, Tiền Giang",hs194@school.edu.vn,0837371044,Hoàng Văn Khang,0412259020,Cha,ph194@gmail.com
Lê Quốc Đức,11/05/2008,Nam,Đồng Nai,"Số 53, đường 34, Đồng Nai",hs195@school.edu.vn,0818537844,Đỗ Ngọc Oanh,0785811477,Mẹ,ph195@gmail.com
Đặng Đức Tuấn,21/06/2007,Nam,TP.HCM,"Số 174, đường 11, TP.HCM",hs196@school.edu.vn,0561899532,Huỳnh Thu Hạnh,0757810637,Mẹ,ph196@gmail.com
Vũ Kim Châu,06/03/2009,Nữ,Tiền Giang,"Số 169, đường 28, Tiền Giang",hs197@school.edu.vn,0724753348,Nguyễn Bảo Chi,0761228852,Mẹ,ph197@gmail.com
Phan Gia Bình,19/02/2009,Nam,TP.HCM,"Số 138, đường 12, TP.HCM",hs198@school.edu.vn,0692767278,Bùi Bảo Lan,0581699808,Mẹ,ph198@gmail.com
Lý Thu Thùy,20/07/2009,Nữ,Nha Trang,"Số 151, đường 8, Nha Trang",hs199@school.edu.vn,0673581239,Đỗ Diễm Hoa,0619378952,Mẹ,ph199@gmail.com
Lê Phương Nhi,08/02/2008,Nữ,Cần Thơ,"Số 30, đường 12, Cần Thơ",hs200@school.edu.vn,0700834337,Hoàng Kim Diệp,0448033880,Mẹ,ph200@gmail.com
